image_idx,mean_iou,class_0_iou,class_0_gt_pixels,class_0_pred_pixels,class_1_iou,class_1_gt_pixels,class_1_pred_pixels,class_2_iou,class_2_gt_pixels,class_2_pred_pixels,class_3_iou,class_3_gt_pixels,class_3_pred_pixels,class_4_iou,class_4_gt_pixels,class_4_pred_pixels,class_5_iou,class_5_gt_pixels,class_5_pred_pixels,class_6_iou,class_6_gt_pixels,class_6_pred_pixels,class_7_iou,class_7_gt_pixels,class_7_pred_pixels,class_8_iou,class_8_gt_pixels,class_8_pred_pixels,class_9_iou,class_9_gt_pixels,class_9_pred_pixels,class_10_iou,class_10_gt_pixels,class_10_pred_pixels,class_11_iou,class_11_gt_pixels,class_11_pred_pixels,class_12_iou,class_12_gt_pixels,class_12_pred_pixels,class_13_iou,class_13_gt_pixels,class_13_pred_pixels,class_14_iou,class_14_gt_pixels,class_14_pred_pixels,class_15_iou,class_15_gt_pixels,class_15_pred_pixels,class_16_iou,class_16_gt_pixels,class_16_pred_pixels,class_17_iou,class_17_gt_pixels,class_17_pred_pixels,class_18_iou,class_18_gt_pixels,class_18_pred_pixels
56,0.41851552388061336,0.9735356265250529,926587,1100315,0.6128226825879378,86182,69573,0.8307046991841678,361108,452609,0.0,7555,1921,0.11904202864522188,2230,10414,0.3446595992401495,27109,21076,0.0,1607,4,0.6176295413936868,8052,6391,0.8138785242752743,119530,137446,nan,0,0,0.0,0,189416,0.0,5453,4444,0.0,3735,0,0.7111178308638242,24091,26837,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.8358268016132714,57790,76706
57,0.6579786350808153,0.9745164894910401,725290,888947,0.7539264063160863,61337,89772,0.3654491879668334,9629,11111,0.7995991801411979,102328,96097,0.6774291806274749,11282,27338,0.3500114863312658,18694,13120,0.6329854237898146,8641,10011,nan,0,0,0.9171282632094117,500599,541226,nan,0,0,0.8989376891884174,244522,239158,0.8677816788274263,154098,167959,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.0,0,12413
58,0.4372152277296147,0.9863474208069717,874517,1066265,0.6081172401913368,67133,54898,0.8186974884306061,235964,320855,0.4291361482119776,92133,41519,0.4004889367697025,56296,115134,0.21094811192610705,32564,12982,0.0009630818619582664,3115,3,0.16453229398663696,3584,709,0.8463076766373544,257862,313004,0.7222137613840578,48083,65680,0.8198672706204572,94269,83783,0.1377677100494234,9528,1740,0.0,518,0,0.79247152055473,15111,18828,nan,0,0,nan,0,0,0.0,0,4,nan,0,0,0.057584982242516486,2529,1748
59,0.4936542363653079,0.9784161409025389,730754,925617,0.7297420554031551,136051,129167,0.7035524554929234,183567,340267,0.0,16304,3,0.0005789235639981909,37787,83600,0.6114699004166085,56879,53164,nan,0,325,0.5689607708189952,13851,11594,0.8913267627398351,349868,368218,0.6810393054721008,33321,50634,0.952062040523579,109587,117216,0.3148985657061636,6845,4084,0.4197069807526573,1769,3257,0.5530596436870643,3340,8069,nan,0,0,nan,0,0,nan,0,0,0.0,0,1347,0.0,2297,590
60,0.5946021207910237,0.9125296966251764,713918,902936,0.6164160274060908,102796,74383,0.831927023945268,183305,222404,0.0,0,2979,0.8222116699043097,287258,364137,0.4218852027382833,36781,34186,0.41296758104738157,1599,1234,0.7011829053190284,60162,51558,0.9168630928413405,213828,220872,nan,0,0,0.9590975178236726,170372,175047,0.4400575953923686,27424,27036,0.0027272727272727275,1100,3,0.6988604218863654,10106,11169,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.5877036834177736,4323,9208
61,0.5812100419055076,0.9731546395299825,570909,763482,0.8747868938667843,220622,223713,0.683570180029824,167030,189334,0.0,1348,0,0.5876951918365608,28181,53462,0.31051702774753126,48209,26444,0.8070780631148589,15280,14872,0.7557728144327113,34428,30928,0.8817180494824819,516106,569791,nan,0,0,0.8931327537364462,30613,30485,0.6075384131797422,97079,77461,0.0,0,1017,0.8038427110780519,78492,65111,0.0,0,251,nan,0,0,nan,0,0,nan,0,0,0.5393438905476398,32029,50801
62,0.4028123993601322,0.9484829031188492,675658,896584,0.5883338562016941,135231,89272,0.7032558099699813,214700,205712,0.0,0,14835,0.0,0,51629,0.35767910571045725,46718,30124,0.3347120931751388,8484,3778,0.0010600706713780918,2830,3,0.8805829670029003,494973,566641,0.0025762711864406778,7301,93,0.7660726428287338,75461,63824,0.0,3306,1063,0.466893039049236,7785,5176,0.8660748183958086,141355,158937,nan,0,0,0.0,4025,0,nan,0,0,nan,0,0,0.5292748124514961,8254,9481
63,0.4299849444326705,0.9739702873680275,643095,829947,0.8298881155624872,233811,229856,0.555877714231094,41701,67321,0.0,0,10213,0.016362644688200714,1650,116511,0.35267975339460644,49368,24005,nan,0,0,0.0,1260,0,0.9111075993125655,487762,512169,0.0032473389861086056,5528,10269,0.9293141572705177,109051,107456,0.0,1036,4835,0.0,0,99,0.5292567690350718,10192,7667,nan,0,0,0.9180848422087082,186371,176804,nan,0,0,nan,0,0,nan,0,0
64,0.6051602574632159,0.9566265987178479,587938,774577,0.791403866883787,35293,42976,0.8021546792884547,318273,302908,0.4549086600721902,35194,18333,0.8064618592066622,279961,366973,0.34663532177490447,37876,57818,0.16883116883116883,9922,4497,0.809682748390142,28351,26545,0.8214123439375547,134679,140392,nan,0,0,0.9220076571500564,142117,141393,0.6733112291774858,19604,23549,0.0,1498,0,0.9188074710547686,200738,197057,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.0,0,134
65,0.4167474676935838,0.8298538575766504,624080,804234,0.3715605739913659,140577,155834,0.869324827576935,553162,600643,0.39021367016881126,32085,15142,0.0,0,58258,0.6196903804600531,59536,62437,0.42939305476885536,20006,12805,0.7381745502998002,2604,2614,0.8742288361091949,272801,317748,0.2154774972557629,8680,2620,0.0,0,1704,0.4699760275974975,12331,19967,0.0,4609,0,0.4409656876722745,49569,26533,nan,0,0,0.0,0,4793,nan,0,0,nan,0,0,0.4191005196201398,6983,11820
